feature_set,model,R2,RMSE,MAE
elements,linear_regression,0.8928862181055379,0.0680654998529571,0.031105495061796412
elements,ridge,0.8928866823879591,0.06806535233856278,0.03110532271865934
elements,random_forest,0.9266908444844656,0.05630973323211252,0.021365568313723726
elements,xgboost,0.9475773780354398,0.047617186471079584,0.019915624622600974
elements,lightgbm,0.9422823997242553,0.04996414897538115,0.01931640966259941
elements,catboost,0.9290322977712048,0.055403185192168275,0.024780037504210276
oxides,linear_regression,0.49026972811078795,0.14848226187383426,0.08355930613932498
oxides,ridge,0.49027028788595794,0.14848218034374788,0.08355932173574128
oxides,random_forest,0.6632562138285447,0.120685239551769,0.04711447170868984
oxides,xgboost,0.6680941904650466,0.11981516457352498,0.04834105548024903
oxides,lightgbm,0.6652410058143055,0.12032905020337378,0.04916080076210934
oxides,catboost,0.6368012259592473,0.12533620723264272,0.055973561790709656
oxides_wt,linear_regression,0.5014909810019069,0.14683881515165553,0.07989326913334532
oxides_wt,ridge,0.5014916674326231,0.14683871405548285,0.07989284542738653
oxides_wt,random_forest,0.6810406979865807,0.11745513210578326,0.041939260544105475
oxides_wt,xgboost,0.6847319317666885,0.11677351534026288,0.043081412248654416
oxides_wt,lightgbm,0.6824050111253148,0.1172036622402189,0.04419079798128018
oxides_wt,catboost,0.6577304228946974,0.12167140151557422,0.04928391511872369
