composition,oxide_SIO2,oxide_AL2O3,oxide_B2O3,oxide_CAO,oxide_K2O,oxide_NA2O,oxide_PBO,oxide_Li2O,oxide_MgO,oxide_SRO,oxide_BAO,oxide_ZNO,oxide_P2O5,oxide_GEO2,oxide_ZRO2,oxide_TIO2,oxide_TEO2,oxide_Bi2O3,oxide_WO3,oxide_RO,oxide_FemOn,oxide_R2O3,oxide_R2O5,oxide_RO2,ND300_pred,NUD300_pred,DENSITY_pred,TG_pred,PbO,glass_family,pareto_rank,distance_to_training,feasible,anomaly_oxide
BAO=0.90; K2O=1.72; R2O3=31.89; R2O5=52.74; RO2=1.03; SIO2=9.31; TIO2=1.61,9.305424297609006,0.0120751475265827,0.13163999671508508,0.007508719584939259,1.7169069509077217,0.020935674948389382,0.0,0.012228809477147858,0.0035752923320858505,0.29098759585898587,0.8989304374816742,0.02108087230129242,0.0008687475399364632,0.12051061576267826,0.021711235467052555,1.6075898967880686,0.00011900593491427313,0.00010379801279946317,0.02105104695413493,0.04661740869533368,0.09553286968629474,31.89311896647426,52.742065795948434,1.0294168179931678,2.2316207885742188,22.34313201904297,4.004507630385917,595.5262451171875,0.0,uncertain,1,0.6279402317340906,True,False
R2O3=31.15; R2O5=50.03; SIO2=11.04; ZRO2=5.78,11.043982073694327,0.015336486134088235,0.10042664925124616,0.0024797346759399983,0.011010473259283204,0.0005215167188258267,0.0,0.011947168015811065,0.022214317040062947,0.48759722700901925,0.2499515508474579,0.18549052467364965,0.017918806443162308,0.0018600561041291286,5.775785194825565,0.19372772240329694,4.022720537553273e-06,0.0025842541045497875,0.38088159174973374,0.1015418332664353,0.09245446442190725,31.150378964804702,50.03435875677419,0.11754661106209016,2.188842296600342,19.228469848632812,4.47017336990746,664.31494140625,0.0,uncertain,2,1.5595293637511622,True,False
AL2O3=1.29; B2O3=0.79; BAO=0.55; R2O3=30.66; R2O5=53.47; SIO2=11.19; ZRO2=0.51,11.192948209071714,1.2868083296604547,0.7858222575779478,0.3489038191366938,0.26265092301531834,0.020467998398634276,0.0,0.012726847232121046,9.49811588397551e-06,0.03718541533859214,0.5502984475768374,0.4969664764970917,0.0008496439866637546,0.00913601366629635,0.5078335386673415,0.04015344882079555,1.0682328924211618e-07,0.00037262016879387254,0.018743414845354467,0.12147856544645037,0.09208389155227883,30.659606021822654,53.466641227750614,0.08831328482818392,2.175081729888916,24.372041702270508,3.972745525214724,584.6455078125,0.0,uncertain,3,0.5749866984768919,True,False
R2O3=32.15; R2O5=48.69; SIO2=11.40; SRO=0.50; ZRO2=5.96,11.399515480328965,0.01583020598302252,0.10242851639403364,0.0025595635375774096,0.005084677973619259,0.010493830082426504,0.0,0.012331777237009922,0.0048294314573802235,0.5032942013455712,0.25649937060120115,0.017775443027063517,0.018751448285352752,0.00268693884204168,5.961722166889062,0.12211391844078315,6.95179560953139e-05,0.0026674477080226326,0.39314312286555786,0.10481071886007753,0.0975443641214594,32.153187578347875,48.691329549231,0.12133073048481231,2.1491308212280273,20.93854522705078,4.585523321525567,668.5914306640625,0.0,uncertain,4,1.5308751542258556,True,False
AL2O3=9.51; R2O3=30.07; R2O5=52.23; SIO2=7.18,7.183994375854033,9.511859643030823,0.10978177358133051,0.02496238453149824,0.00400106031119665,0.019591832486495205,0.0,0.014850796978617504,0.1311199293056052,0.04051838071775025,0.08447398226699347,0.014531553718678423,0.09194395991551574,0.07235939943981573,0.2527800916148155,0.0014534593896094136,7.867303513388483e-09,0.000591095851829877,0.017804763786067143,0.11802778241795137,0.001391185873397464,30.067595067855247,52.23193487532883,0.004432597876595314,2.134561777114868,27.86328125,3.6524329927877206,587.5313720703125,0.0,uncertain,5,0.8321955135036042,True,False
BAO=0.83; CAO=4.02; K2O=1.57; MgO=4.85; R2O3=29.26; R2O5=47.43; RO2=0.94; SIO2=8.54; TIO2=1.47,8.536154668515788,0.44574979481868965,0.12075745678911244,4.0163071882828065,1.5749720609906956,0.01920494474337317,0.0,0.015267841848172516,4.854227609613863,0.2432318171629687,0.8319697549714271,0.01933813878398858,0.0007969290955056932,0.11054813004202485,0.01656074176954147,1.4746921326362588,1.6378154849019988e-05,0.00014666102372040102,0.01931077906687779,0.06713618190063625,0.0013513548266515262,29.256548401468475,47.431395019982006,0.9443160135125597,2.1259255409240723,30.54222297668457,3.8819662444044596,604.9588012695312,0.0,uncertain,6,1.7073327817470065,True,False
AL2O3=0.53; R2O5=51.66; RO2=1.36; SIO2=45.06,45.061837042323646,0.533251245701963,0.12698216461905112,0.02431386596279974,5.417749866761688e-06,0.018402769736795496,0.0,0.001573382771413241,0.00788707531808829,0.48378131506610034,0.08185893854858206,0.1703823164403622,0.005123548561318318,0.009924860094852325,0.2810236943597122,0.052328803625976514,2.325672950002059e-07,9.46475063202586e-05,0.04617507914168197,0.05147690777197188,0.0003715072309693807,0.023228093361227393,51.66047014749624,1.359506944043761,2.107084274291992,31.34541893005371,3.31760162221896,664.8729248046875,0.0,uncertain,7,0.6510426130405895,True,False
AL2O3=9.71; B2O3=3.72; BAO=3.15; R2O3=13.53; R2O5=53.27; RO=1.26; SIO2=9.52; SRO=0.61; TEO2=1.99; TIO2=1.53; ZNO=0.51,9.517690296853656,9.705836399382326,3.719350013111152,0.19049262833101827,0.00787410459763026,0.3106586185568396,0.0,0.015861676161052527,0.2716500524202413,0.606221281862118,3.1534442276457457,0.5119518816507851,0.00047236315457964987,0.05743160354860171,0.24617637767611064,1.5348433640663408,1.9888979570669836,0.007282365163757369,0.002986526626757992,1.264110329597152,0.0028788084305792637,13.530816634401457,53.26970632404359,0.08336616565151476,2.0988035202026367,39.561607360839844,3.4310131235141985,461.33856201171875,0.0,uncertain,8,1.3273635602375369,True,False
CAO=4.86; R2O5=45.77; RO2=1.71; SIO2=45.98,45.97983775493539,0.4037226680638496,0.159289712761094,4.855696092110871,0.11445508726195056,0.018560838221073638,0.0,0.3910678678865927,0.0001692246207800984,0.07178047408743736,0.27269038623419833,0.026202409253655554,0.005433560906468926,0.07067268651207165,0.004388671688641683,0.029964272678319918,1.615047310224763e-10,0.006088705130714454,0.02846297489926736,0.05496025862718439,0.0006456334282278735,0.026927318036355043,45.76909826359459,1.7098851388997631,2.073606014251709,32.22645568847656,3.2713569847725217,639.3757934570312,0.0,uncertain,9,0.8730385369820846,True,False
Bi2O3=0.54; CAO=0.86; R2O5=48.48; RO2=0.88; SIO2=46.38; TIO2=1.43; ZNO=0.51,46.38312952884359,0.03422098461294235,0.10625131517560435,0.8595361955860633,0.07727756834835507,0.0010167608642394853,0.0,0.19008196080189546,0.3337177675100993,0.010503392809254962,0.011809511015564676,0.5133839292748249,0.03273857193648587,0.005142203394977103,0.010654406259100517,1.4264450173776635,0.00048116475935284944,0.543767350357155,0.0272325103581187,0.04335156609315254,0.0191569059630944,0.00917293211271345,48.484950685163575,0.8759777713821745,2.0648956298828125,36.49272155761719,3.37858387876579,613.0732421875,0.0,uncertain,10,0.4937992564881054,True,False
