property,dataset,count,mean,std,median,q25,q75,min,max
nd,design,18923,1.8979420811796217,0.20598735616142794,1.8459999561309812,1.7710000276565552,1.9470000267028809,1.7000000476837158,4.480000019073486
nd,recovery_pool,20133,1.7127519990851579,0.2010229942787604,1.6660000085830688,1.5520000457763672,1.830999970436096,1.274999976158142,3.5999999046325684
nd,schott,122,1.6759990491803278,0.12099638458862406,1.65628,1.5875325,1.76024,1.456,2.02204
vd,design,13669,35.442382966585136,11.319981925117904,36.70000076293945,25.600000381469727,43.900001525878906,7.940000057220459,230.6999969482422
vd,recovery_pool,15099,45.06519458319021,17.04729013560183,44.20000076293945,31.450000762939453,58.0423583984375,8.380000114440918,185.0
vd,schott,122,45.39368852459016,15.118227092307416,45.31,32.18,56.589999999999996,20.88,90.9
density,design,6989,4.604018757673851,1.0000568225406439,4.550000190734863,3.869999885559082,5.239999771118164,1.5399999618530271,8.744999885559082
density,recovery_pool,15278,3.7819201797149398,1.1761065320643553,3.539999961853028,2.800249993801117,4.570000171661377,1.5740000009536743,8.539999961853027
density,schott,122,3.5916581967213115,0.793147311345277,3.529,3.04525,4.013999999999999,2.39,6.194
tg,design,7298,539.637434913675,125.6217965774937,556.0,471.0,609.0,25.0,1086.0
tg,recovery_pool,14549,511.3732215272527,134.650197376387,520.0,426.0,594.0,25.0,1152.0
tg,schott,122,560.0819672131148,87.34794014364482,574.0,482.25,629.0,414.0,774.0
