glass_name,matched_sciglass_id,distance,predicted_composition,composition_std,glass_family,oxide_sum_pct,physically_plausible,high_uncertainty,n_neighbors_for_mean
LASF35,4377000532126,0.1343820440254783,SIO2=2.68; B2O3=2.65; ZRO2=1.57; TIO2=6.52,"{""SIO2"": 5.495, ""AL2O3"": 0.0, ""B2O3"": 5.439, ""CAO"": 0.0, ""K2O"": 0.0, ""NA2O"": 0.0, ""PBO"": 0.0, ""Li2O"": 0.0, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 0.0, ""ZNO"": 1.014, ""P2O5"": 0.0, ""GEO2"": 0.0, ""ZRO2"": 3.222, ""TIO2"": 13.381, ""TEO2"": 0.0, ""RO"": 1.014, ""FemOn"": 0.0}",uncertain,14.406312751770018,False,True,20
P-SF68,3304900407413,0.042267700466844985,SIO2=18.22; AL2O3=2.63; B2O3=15.26; CAO=1.42; PBO=13.42; Li2O=2.00; BAO=1.55; ZNO=3.94; GEO2=12.26; TIO2=0.55; RO=24.62,"{""SIO2"": 11.794, ""AL2O3"": 4.273, ""B2O3"": 11.784, ""CAO"": 4.116, ""K2O"": 0.469, ""NA2O"": 1.114, ""PBO"": 21.076, ""Li2O"": 2.354, ""MgO"": 0.615, ""SRO"": 0.45, ""BAO"": 2.231, ""ZNO"": 4.958, ""P2O5"": 0.0, ""GEO2"": 15.407, ""ZRO2"": 0.0, ""TIO2"": 2.018, ""TEO2"": 0.0, ""RO"": 23.318, ""FemOn"": 0.0}",lanthanum,96.55078976452351,False,True,20
N-LASF55,3920300463300,0.22789130554449633,SIO2=15.64; B2O3=20.81; BAO=1.48; ZNO=4.62; ZRO2=7.20; TIO2=21.50; RO=6.10,"{""SIO2"": 0.16, ""AL2O3"": 0.0, ""B2O3"": 1.111, ""CAO"": 0.0, ""K2O"": 0.0, ""NA2O"": 0.0, ""PBO"": 0.0, ""Li2O"": 0.0, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 2.144, ""ZNO"": 1.257, ""P2O5"": 0.0, ""GEO2"": 0.0, ""ZRO2"": 0.13, ""TIO2"": 1.98, ""TEO2"": 0.0, ""RO"": 2.765, ""FemOn"": 0.0}",heavy flint,77.35027743577957,False,True,20
N-SF66,3554700427378,0.03739643939872394,SIO2=16.55; B2O3=1.83; CAO=9.56; K2O=2.73; Li2O=2.16; BAO=17.82; P2O5=10.51; ZRO2=3.50; TIO2=17.53; RO=27.86,"{""SIO2"": 14.059, ""AL2O3"": 0.45, ""B2O3"": 1.823, ""CAO"": 8.565, ""K2O"": 3.579, ""NA2O"": 0.371, ""PBO"": 0.0, ""Li2O"": 1.839, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 5.239, ""ZNO"": 0.719, ""P2O5"": 13.335, ""GEO2"": 0.0, ""ZRO2"": 2.704, ""TIO2"": 7.448, ""TEO2"": 0.0, ""RO"": 3.515, ""FemOn"": 0.0}",heavy flint,110.83924485445021,False,True,20
N-LASF46B,3770100445790,0.03175341698575789,SIO2=10.27; B2O3=30.75; Li2O=1.96; ZNO=13.79; GEO2=0.90; ZRO2=5.83; TIO2=14.94; RO=14.34,"{""SIO2"": 1.935, ""AL2O3"": 0.0, ""B2O3"": 2.128, ""CAO"": 1.024, ""K2O"": 0.0, ""NA2O"": 0.0, ""PBO"": 0.0, ""Li2O"": 1.344, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 0.772, ""ZNO"": 4.646, ""P2O5"": 0.0, ""GEO2"": 0.682, ""ZRO2"": 1.553, ""TIO2"": 2.174, ""TEO2"": 0.0, ""RO"": 5.494, ""FemOn"": 0.0}",heavy flint,93.34052962958813,False,True,20
N-LASF31A,3140700403781,0.028222530397255283,SIO2=17.65; B2O3=30.27; ZNO=3.58; ZRO2=7.93; TIO2=2.81; RO=3.58,"{""SIO2"": 1.257, ""AL2O3"": 0.0, ""B2O3"": 2.002, ""CAO"": 0.0, ""K2O"": 0.0, ""NA2O"": 0.0, ""PBO"": 0.0, ""Li2O"": 0.0, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 0.0, ""ZNO"": 1.241, ""P2O5"": 0.0, ""GEO2"": 0.0, ""ZRO2"": 0.396, ""TIO2"": 1.066, ""TEO2"": 0.0, ""RO"": 1.241, ""FemOn"": 0.0}",uncertain,65.81929931044579,False,True,20
N-LASF9,1344100130025,0.2613883974782688,SIO2=15.95; B2O3=23.12; CAO=3.22; MgO=1.67; SRO=1.98; BAO=8.61; ZNO=2.83; ZRO2=6.86; TIO2=18.45; RO=18.31,"{""SIO2"": 7.954, ""AL2O3"": 0.0, ""B2O3"": 6.371, ""CAO"": 3.481, ""K2O"": 0.0, ""NA2O"": 0.0, ""PBO"": 0.0, ""Li2O"": 0.313, ""MgO"": 4.417, ""SRO"": 2.577, ""BAO"": 5.585, ""ZNO"": 1.783, ""P2O5"": 0.0, ""GEO2"": 0.0, ""ZRO2"": 1.543, ""TIO2"": 2.489, ""TEO2"": 0.0, ""RO"": 1.495, ""FemOn"": 0.0}",heavy flint,101.12903646060397,True,True,7
N-SF57,4441400607860,0.3128708581252471,SIO2=29.99; B2O3=1.27; CAO=2.87; K2O=2.47; NA2O=3.83; Li2O=6.18; BAO=6.04; P2O5=10.87; ZRO2=2.20; TIO2=20.45; RO=9.13,"{""SIO2"": 24.183, ""AL2O3"": 0.0, ""B2O3"": 4.451, ""CAO"": 6.17, ""K2O"": 1.931, ""NA2O"": 3.185, ""PBO"": 0.0, ""Li2O"": 5.454, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 6.987, ""ZNO"": 0.69, ""P2O5"": 15.287, ""GEO2"": 0.03, ""ZRO2"": 1.651, ""TIO2"": 22.212, ""TEO2"": 0.0, ""RO"": 9.897, ""FemOn"": 0.0}",heavy flint,95.52357470840215,False,True,20
N-SF57HT,4441400607860,0.3128708581252471,SIO2=29.99; B2O3=1.27; CAO=2.87; K2O=2.47; NA2O=3.83; Li2O=6.18; BAO=6.04; P2O5=10.87; ZRO2=2.20; TIO2=20.45; RO=9.13,"{""SIO2"": 24.183, ""AL2O3"": 0.0, ""B2O3"": 4.451, ""CAO"": 6.17, ""K2O"": 1.931, ""NA2O"": 3.185, ""PBO"": 0.0, ""Li2O"": 5.454, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 6.987, ""ZNO"": 0.69, ""P2O5"": 15.287, ""GEO2"": 0.03, ""ZRO2"": 1.651, ""TIO2"": 22.212, ""TEO2"": 0.0, ""RO"": 9.897, ""FemOn"": 0.0}",heavy flint,95.52357470840215,False,True,20
N-SF57HTultra,4441400607860,0.3128708581252471,SIO2=29.99; B2O3=1.27; CAO=2.87; K2O=2.47; NA2O=3.83; Li2O=6.18; BAO=6.04; P2O5=10.87; ZRO2=2.20; TIO2=20.45; RO=9.13,"{""SIO2"": 24.183, ""AL2O3"": 0.0, ""B2O3"": 4.451, ""CAO"": 6.17, ""K2O"": 1.931, ""NA2O"": 3.185, ""PBO"": 0.0, ""Li2O"": 5.454, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 6.987, ""ZNO"": 0.69, ""P2O5"": 15.287, ""GEO2"": 0.03, ""ZRO2"": 1.651, ""TIO2"": 22.212, ""TEO2"": 0.0, ""RO"": 9.897, ""FemOn"": 0.0}",heavy flint,95.52357470840215,False,True,20
