glass_name,filter_mode,property_mode,matched_sciglass_id,distance,predicted_composition,composition_std,glass_family,composition_completeness,physically_plausible,recon_method,n_neighbors_used,composition_exp_weight,composition_idw,composition_cluster_kmeans,scenario
LASF35,adaptive,B,848700066673,0.022112461526123475,SIO2=9.39; B2O3=9.71; ZRO2=4.57; TIO2=12.97; R2O3=34.34; RO2=17.65; R2O5=7.00; RmOn=68.56,"{""SIO2"": 8.139, ""AL2O3"": 0.0, ""B2O3"": 9.074, ""CAO"": 0.0, ""K2O"": 0.0, ""NA2O"": 0.0, ""PBO"": 0.663, ""Li2O"": 0.0, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 0.0, ""ZNO"": 0.559, ""P2O5"": 0.464, ""GEO2"": 0.0, ""ZRO2"": 4.091, ""TIO2"": 11.313, ""TEO2"": 0.0, ""RO"": 0.844, ""FemOn"": 0.0, ""R2O"": 0.0, ""R2O3"": 31.012, ""RO2"": 14.819, ""RO3"": 0.0, ""RO4"": 0.0, ""R2O5"": 6.904, ""RF"": 0.0, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.0, ""RmOn"": 50.565, ""RmNn"": 0.0}",uncertain,1.0,False,idw,20,SIO2=7.57; B2O3=8.95; ZRO2=3.49; TIO2=10.39; R2O3=32.09; RO2=13.94; R2O5=6.51; RmOn=60.34,SIO2=9.39; B2O3=9.71; ZRO2=4.57; TIO2=12.97; R2O3=34.34; RO2=17.65; R2O5=7.00; RmOn=68.56,SIO2=15.84; B2O3=13.29; P2O5=0.52; ZRO2=7.72; TIO2=21.89; R2O3=44.68; RO2=29.79; R2O5=8.79; RmOn=99.40,adaptive_B
P-SF68,adaptive,B,3304900407413,0.0177550996972877,SIO2=6.70; AL2O3=1.25; B2O3=34.12; Li2O=2.39; BAO=3.14; ZNO=5.55; GEO2=13.25; RO=8.84; R2O=2.65; R2O3=67.81; RO2=13.68; RmOn=100.00,"{""SIO2"": 7.127, ""AL2O3"": 3.734, ""B2O3"": 18.929, ""CAO"": 0.0, ""K2O"": 0.224, ""NA2O"": 1.125, ""PBO"": 0.0, ""Li2O"": 2.959, ""MgO"": 0.441, ""SRO"": 0.45, ""BAO"": 3.376, ""ZNO"": 5.094, ""P2O5"": 0.0, ""GEO2"": 14.861, ""ZRO2"": 0.765, ""TIO2"": 1.391, ""TEO2"": 0.0, ""RO"": 7.358, ""FemOn"": 0.0, ""R2O"": 3.268, ""R2O3"": 24.361, ""RO2"": 14.734, ""RO3"": 1.212, ""RO4"": 0.0, ""R2O5"": 0.216, ""RF"": 0.0, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.0, ""RmOn"": 0.0, ""RmNn"": 0.0}",uncertain,1.0,False,idw,20,SIO2=6.72; AL2O3=1.37; B2O3=35.14; Li2O=2.22; BAO=3.03; ZNO=5.28; GEO2=12.16; RO=8.49; R2O=2.52; R2O3=69.26; RO2=12.64; RmOn=100.00,SIO2=6.70; AL2O3=1.25; B2O3=34.12; Li2O=2.39; BAO=3.14; ZNO=5.55; GEO2=13.25; RO=8.84; R2O=2.65; R2O3=67.81; RO2=13.68; RmOn=100.00,SIO2=7.11; B2O3=15.98; Li2O=4.56; BAO=4.63; ZNO=9.89; GEO2=30.40; RO=14.88; R2O=5.01; R2O3=42.30; RO2=30.58; RmOn=100.00,adaptive_B
N-LASF55,adaptive,B,848700066662,0.04507719632037788,SIO2=16.44; B2O3=21.03; BAO=2.00; ZNO=3.90; ZRO2=7.21; TIO2=21.15; RO=5.90; R2O3=45.18; RO2=28.36; R2O5=4.11; RmOn=100.00,"{""SIO2"": 1.394, ""AL2O3"": 0.0, ""B2O3"": 1.072, ""CAO"": 0.0, ""K2O"": 0.0, ""NA2O"": 0.0, ""PBO"": 0.0, ""Li2O"": 0.0, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 2.431, ""ZNO"": 1.872, ""P2O5"": 0.0, ""GEO2"": 0.0, ""ZRO2"": 0.158, ""TIO2"": 1.115, ""TEO2"": 0.0, ""RO"": 3.58, ""FemOn"": 0.0, ""R2O"": 0.0, ""R2O3"": 2.615, ""RO2"": 1.08, ""RO3"": 0.0, ""RO4"": 0.0, ""R2O5"": 0.517, ""RF"": 0.0, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.0, ""RmOn"": 0.0, ""RmNn"": 0.0}",heavy flint,1.0,False,idw,20,SIO2=16.30; B2O3=21.02; BAO=2.08; ZNO=4.06; ZRO2=7.20; TIO2=21.11; RO=6.14; R2O3=45.19; RO2=28.31; R2O5=4.06; RmOn=100.00,SIO2=16.44; B2O3=21.03; BAO=2.00; ZNO=3.90; ZRO2=7.21; TIO2=21.15; RO=5.90; R2O3=45.18; RO2=28.36; R2O5=4.11; RmOn=100.00,SIO2=19.29; B2O3=22.01; ZRO2=7.43; TIO2=21.41; R2O3=46.65; RO2=28.84; R2O5=5.22; RmOn=100.00,adaptive_B
N-SF66,adaptive,B,3554700427378,0.017084573248853676,SIO2=3.79; B2O3=1.91; CAO=2.46; K2O=5.77; NA2O=2.49; Li2O=0.97; BAO=18.07; ZNO=0.73; P2O5=21.58; ZRO2=0.64; TIO2=12.96; TEO2=0.67; RO=21.27; R2O=9.23; R2O3=2.57; RO2=14.27; R2O5=48.62; RmOn=100.00,"{""SIO2"": 12.412, ""AL2O3"": 0.45, ""B2O3"": 8.596, ""CAO"": 7.45, ""K2O"": 4.523, ""NA2O"": 9.267, ""PBO"": 0.0, ""Li2O"": 3.235, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 10.538, ""ZNO"": 0.726, ""P2O5"": 12.9, ""GEO2"": 0.0, ""ZRO2"": 1.966, ""TIO2"": 12.219, ""TEO2"": 4.613, ""RO"": 10.708, ""FemOn"": 0.0, ""R2O"": 9.958, ""R2O3"": 11.096, ""RO2"": 11.872, ""RO3"": 1.259, ""RO4"": 0.0, ""R2O5"": 25.775, ""RF"": 0.0, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.0, ""RmOn"": 0.0, ""RmNn"": 0.0}",heavy flint,1.0,False,idw,20,SIO2=6.11; B2O3=3.10; CAO=3.99; K2O=4.55; NA2O=3.83; Li2O=1.59; BAO=15.36; ZNO=0.61; P2O5=18.89; ZRO2=0.99; TIO2=14.54; TEO2=1.09; RO=19.97; R2O=9.96; R2O3=4.03; RO2=16.62; R2O5=42.93; RmOn=100.00,SIO2=3.79; B2O3=1.91; CAO=2.46; K2O=5.77; NA2O=2.49; Li2O=0.97; BAO=18.07; ZNO=0.73; P2O5=21.58; ZRO2=0.64; TIO2=12.96; TEO2=0.67; RO=21.27; R2O=9.23; R2O3=2.57; RO2=14.27; R2O5=48.62; RmOn=100.00,K2O=7.13; BAO=23.03; ZNO=1.03; P2O5=26.11; TIO2=9.72; RO=24.05; R2O=7.54; R2O3=0.52; RO2=9.89; R2O5=57.85; RmOn=100.00,adaptive_B
N-LASF46B,adaptive,B,3770100445790,0.014310942152251569,SIO2=6.22; B2O3=33.97; Li2O=0.88; ZNO=14.37; GEO2=1.15; ZRO2=4.69; TIO2=10.89; TEO2=1.90; RO=15.35; R2O=0.88; R2O3=49.43; RO2=18.63; RO3=3.56; R2O5=5.76; RmOn=99.88,"{""SIO2"": 5.064, ""AL2O3"": 0.416, ""B2O3"": 5.117, ""CAO"": 1.365, ""K2O"": 0.0, ""NA2O"": 0.0, ""PBO"": 0.0, ""Li2O"": 1.323, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 0.362, ""ZNO"": 7.564, ""P2O5"": 0.0, ""GEO2"": 3.435, ""ZRO2"": 2.978, ""TIO2"": 5.844, ""TEO2"": 6.141, ""RO"": 7.529, ""FemOn"": 0.0, ""R2O"": 1.323, ""R2O3"": 7.178, ""RO2"": 6.686, ""RO3"": 5.011, ""RO4"": 0.0, ""R2O5"": 2.791, ""RF"": 0.0, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.0, ""RmOn"": 0.811, ""RmNn"": 0.0}",heavy flint,1.0,False,idw,20,SIO2=6.04; B2O3=34.21; Li2O=0.92; ZNO=14.07; GEO2=1.22; ZRO2=4.63; TIO2=10.54; TEO2=2.02; RO=15.07; R2O=0.92; R2O3=49.75; RO2=18.42; RO3=3.73; R2O5=5.88; RmOn=99.87,SIO2=6.22; B2O3=33.97; Li2O=0.88; ZNO=14.37; GEO2=1.15; ZRO2=4.69; TIO2=10.89; TEO2=1.90; RO=15.35; R2O=0.88; R2O3=49.43; RO2=18.63; RO3=3.56; R2O5=5.76; RmOn=99.88,SIO2=9.17; B2O3=30.84; Li2O=1.40; ZNO=14.99; GEO2=1.83; ZRO2=5.67; TIO2=14.67; RO=16.09; R2O=1.40; R2O3=45.40; RO2=22.18; RO3=1.24; R2O5=4.22; RmOn=99.80,adaptive_B
N-LASF31A,adaptive,B,3606900432490,0.009154409954423863,SIO2=20.18; B2O3=27.37; CAO=0.59; ZNO=5.03; ZRO2=8.20; TIO2=0.85; RO=5.62; R2O3=58.16; RO2=9.29; RO3=0.70; R2O5=5.93; RmOn=100.00,"{""SIO2"": 3.206, ""AL2O3"": 0.0, ""B2O3"": 3.955, ""CAO"": 2.3, ""K2O"": 0.0, ""NA2O"": 0.0, ""PBO"": 0.0, ""Li2O"": 0.4, ""MgO"": 0.0, ""SRO"": 0.0, ""BAO"": 0.0, ""ZNO"": 3.371, ""P2O5"": 0.0, ""GEO2"": 0.762, ""ZRO2"": 1.006, ""TIO2"": 1.492, ""TEO2"": 0.0, ""RO"": 3.106, ""FemOn"": 0.0, ""R2O"": 0.4, ""R2O3"": 4.282, ""RO2"": 1.799, ""RO3"": 1.195, ""RO4"": 0.0, ""R2O5"": 1.777, ""RF"": 0.0, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.0, ""RmOn"": 0.0, ""RmNn"": 0.0}",uncertain,1.0,False,idw,20,SIO2=20.08; B2O3=27.39; CAO=0.66; ZNO=5.04; ZRO2=8.13; TIO2=0.90; RO=5.69; R2O3=58.20; RO2=9.27; RO3=0.75; R2O5=5.88; RmOn=100.00,SIO2=20.18; B2O3=27.37; CAO=0.59; ZNO=5.03; ZRO2=8.20; TIO2=0.85; RO=5.62; R2O3=58.16; RO2=9.29; RO3=0.70; R2O5=5.93; RmOn=100.00,SIO2=23.00; B2O3=23.94; ZNO=8.32; ZRO2=8.15; RO=8.32; R2O3=54.63; RO2=8.15; R2O5=5.90; RmOn=100.00,adaptive_B
N-LASF9,adaptive,B,3462100408878,0.07599033403572136,SIO2=21.03; B2O3=18.40; CAO=1.09; PBO=0.76; Li2O=0.62; MgO=0.53; BAO=15.14; ZNO=1.51; P2O5=1.18; GEO2=2.34; ZRO2=4.30; TIO2=15.26; RO=20.76; R2O=1.25; R2O3=28.05; RO2=22.85; R2O5=5.32; RmOn=99.59,"{""SIO2"": 13.198, ""AL2O3"": 0.0, ""B2O3"": 12.602, ""CAO"": 2.741, ""K2O"": 0.296, ""NA2O"": 1.132, ""PBO"": 1.826, ""Li2O"": 1.264, ""MgO"": 2.613, ""SRO"": 0.303, ""BAO"": 10.434, ""ZNO"": 2.241, ""P2O5"": 6.261, ""GEO2"": 12.237, ""ZRO2"": 2.283, ""TIO2"": 5.199, ""TEO2"": 0.0, ""RO"": 7.14, ""FemOn"": 0.0, ""R2O"": 2.0, ""R2O3"": 17.931, ""RO2"": 12.663, ""RO3"": 0.228, ""RO4"": 0.0, ""R2O5"": 12.468, ""RF"": 0.0, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.0, ""RmOn"": 1.166, ""RmNn"": 0.0}",heavy flint,1.0,False,idw,20,SIO2=21.05; B2O3=18.27; CAO=1.13; PBO=0.65; Li2O=0.56; MgO=0.55; BAO=15.27; ZNO=1.43; P2O5=1.22; GEO2=2.42; ZRO2=4.27; TIO2=15.37; RO=20.76; R2O=1.16; R2O3=27.90; RO2=23.00; R2O5=5.40; RmOn=99.59,SIO2=21.03; B2O3=18.40; CAO=1.09; PBO=0.76; Li2O=0.62; MgO=0.53; BAO=15.14; ZNO=1.51; P2O5=1.18; GEO2=2.34; ZRO2=4.30; TIO2=15.26; RO=20.76; R2O=1.25; R2O3=28.05; RO2=22.85; R2O5=5.32; RmOn=99.59,SIO2=11.19; B2O3=30.55; CAO=2.17; PBO=1.83; Li2O=0.97; MgO=1.31; BAO=5.35; ZNO=3.65; ZRO2=5.00; TIO2=14.29; RO=18.21; R2O=1.64; R2O3=44.90; RO2=19.29; R2O5=3.29; RmOn=98.99,adaptive_B
N-SF57,adaptive,B,3548700426251,0.0021852361225159133,SIO2=36.25; B2O3=1.63; K2O=1.14; NA2O=13.32; Li2O=1.54; BAO=7.81; P2O5=2.10; TIO2=25.79; RO=8.87; R2O=16.11; R2O3=1.75; RO2=26.40; R2O5=10.62; RmOn=100.00,"{""SIO2"": 16.134, ""AL2O3"": 0.216, ""B2O3"": 8.866, ""CAO"": 0.959, ""K2O"": 3.236, ""NA2O"": 10.981, ""PBO"": 0.0, ""Li2O"": 7.023, ""MgO"": 1.185, ""SRO"": 4.466, ""BAO"": 4.306, ""ZNO"": 0.0, ""P2O5"": 12.132, ""GEO2"": 2.055, ""ZRO2"": 0.83, ""TIO2"": 13.549, ""TEO2"": 1.854, ""RO"": 5.73, ""FemOn"": 0.0, ""R2O"": 9.71, ""R2O3"": 8.839, ""RO2"": 13.9, ""RO3"": 0.0, ""RO4"": 0.0, ""R2O5"": 24.159, ""RF"": 0.0, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.0, ""RmOn"": 0.0, ""RmNn"": 0.0}",heavy flint,1.0,False,idw,20,SIO2=29.47; B2O3=3.49; CAO=0.74; K2O=2.16; NA2O=13.92; Li2O=3.07; SRO=0.79; BAO=5.22; P2O5=4.82; ZRO2=0.69; TIO2=23.72; RO=7.17; R2O=19.41; R2O3=3.64; RO2=25.02; R2O5=15.29; RmOn=100.00,SIO2=36.25; B2O3=1.63; K2O=1.14; NA2O=13.32; Li2O=1.54; BAO=7.81; P2O5=2.10; TIO2=25.79; RO=8.87; R2O=16.11; R2O3=1.75; RO2=26.40; R2O5=10.62; RmOn=100.00,SIO2=39.92; K2O=0.92; NA2O=12.92; Li2O=0.98; BAO=9.08; TIO2=27.75; RO=9.78; R2O=14.95; RO2=28.20; R2O5=6.93; RmOn=100.00,adaptive_B
N-SF57HT,adaptive,B,3548700426251,0.0021852361225159133,SIO2=36.25; B2O3=1.63; K2O=1.14; NA2O=13.32; Li2O=1.54; BAO=7.81; P2O5=2.10; TIO2=25.79; RO=8.87; R2O=16.11; R2O3=1.75; RO2=26.40; R2O5=10.62; RmOn=100.00,"{""SIO2"": 16.134, ""AL2O3"": 0.216, ""B2O3"": 8.866, ""CAO"": 0.959, ""K2O"": 3.236, ""NA2O"": 10.981, ""PBO"": 0.0, ""Li2O"": 7.023, ""MgO"": 1.185, ""SRO"": 4.466, ""BAO"": 4.306, ""ZNO"": 0.0, ""P2O5"": 12.132, ""GEO2"": 2.055, ""ZRO2"": 0.83, ""TIO2"": 13.549, ""TEO2"": 1.854, ""RO"": 5.73, ""FemOn"": 0.0, ""R2O"": 9.71, ""R2O3"": 8.839, ""RO2"": 13.9, ""RO3"": 0.0, ""RO4"": 0.0, ""R2O5"": 24.159, ""RF"": 0.0, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.0, ""RmOn"": 0.0, ""RmNn"": 0.0}",heavy flint,1.0,False,idw,20,SIO2=29.47; B2O3=3.49; CAO=0.74; K2O=2.16; NA2O=13.92; Li2O=3.07; SRO=0.79; BAO=5.22; P2O5=4.82; ZRO2=0.69; TIO2=23.72; RO=7.17; R2O=19.41; R2O3=3.64; RO2=25.02; R2O5=15.29; RmOn=100.00,SIO2=36.25; B2O3=1.63; K2O=1.14; NA2O=13.32; Li2O=1.54; BAO=7.81; P2O5=2.10; TIO2=25.79; RO=8.87; R2O=16.11; R2O3=1.75; RO2=26.40; R2O5=10.62; RmOn=100.00,SIO2=39.92; K2O=0.92; NA2O=12.92; Li2O=0.98; BAO=9.08; TIO2=27.75; RO=9.78; R2O=14.95; RO2=28.20; R2O5=6.93; RmOn=100.00,adaptive_B
N-SF57HTultra,adaptive,B,3548700426251,0.0021852361225159133,SIO2=36.25; B2O3=1.63; K2O=1.14; NA2O=13.32; Li2O=1.54; BAO=7.81; P2O5=2.10; TIO2=25.79; RO=8.87; R2O=16.11; R2O3=1.75; RO2=26.40; R2O5=10.62; RmOn=100.00,"{""SIO2"": 16.134, ""AL2O3"": 0.216, ""B2O3"": 8.866, ""CAO"": 0.959, ""K2O"": 3.236, ""NA2O"": 10.981, ""PBO"": 0.0, ""Li2O"": 7.023, ""MgO"": 1.185, ""SRO"": 4.466, ""BAO"": 4.306, ""ZNO"": 0.0, ""P2O5"": 12.132, ""GEO2"": 2.055, ""ZRO2"": 0.83, ""TIO2"": 13.549, ""TEO2"": 1.854, ""RO"": 5.73, ""FemOn"": 0.0, ""R2O"": 9.71, ""R2O3"": 8.839, ""RO2"": 13.9, ""RO3"": 0.0, ""RO4"": 0.0, ""R2O5"": 24.159, ""RF"": 0.0, ""RF2"": 0.0, ""RF3"": 0.0, ""RF4"": 0.0, ""RF5"": 0.0, ""RHal"": 0.0, ""RHal2"": 0.0, ""RHal3"": 0.0, ""RHal4"": 0.0, ""RHal5"": 0.0, ""RHaln"": 0.0, ""RmOn"": 0.0, ""RmNn"": 0.0}",heavy flint,1.0,False,idw,20,SIO2=29.47; B2O3=3.49; CAO=0.74; K2O=2.16; NA2O=13.92; Li2O=3.07; SRO=0.79; BAO=5.22; P2O5=4.82; ZRO2=0.69; TIO2=23.72; RO=7.17; R2O=19.41; R2O3=3.64; RO2=25.02; R2O5=15.29; RmOn=100.00,SIO2=36.25; B2O3=1.63; K2O=1.14; NA2O=13.32; Li2O=1.54; BAO=7.81; P2O5=2.10; TIO2=25.79; RO=8.87; R2O=16.11; R2O3=1.75; RO2=26.40; R2O5=10.62; RmOn=100.00,SIO2=39.92; K2O=0.92; NA2O=12.92; Li2O=0.98; BAO=9.08; TIO2=27.75; RO=9.78; R2O=14.95; RO2=28.20; R2O5=6.93; RmOn=100.00,adaptive_B
