glass_name,filter_mode,property_mode,distance_first,distance_mean_top20,composition_variance,family_entropy,effective_neighbors,uncertainty_score,composition_completeness,physically_plausible,high_uncertainty,comp_exp_weight,comp_idw,comp_cluster_kmeans,scenario
LASF35,adaptive,B,0.022112461526123475,0.11193783009926875,107.38787450516669,0.8237197315118312,20,12.020765651080943,1.0,False,True,SIO2=7.57; B2O3=8.95; ZRO2=3.49; TIO2=10.39; R2O3=32.09; RO2=13.94; R2O5=6.51; RmOn=60.34,SIO2=9.39; B2O3=9.71; ZRO2=4.57; TIO2=12.97; R2O3=34.34; RO2=17.65; R2O5=7.00; RmOn=68.56,SIO2=15.84; B2O3=13.29; P2O5=0.52; ZRO2=7.72; TIO2=21.89; R2O3=44.68; RO2=29.79; R2O5=8.79; RmOn=99.40,adaptive_B
P-SF68,adaptive,B,0.0177550996972877,0.05310676010246825,41.3453359835036,0.6474466390346325,20,2.1957168394318742,1.0,False,True,SIO2=6.72; AL2O3=1.37; B2O3=35.14; Li2O=2.22; BAO=3.03; ZNO=5.28; GEO2=12.16; RO=8.49; R2O=2.52; R2O3=69.26; RO2=12.64; RmOn=100.00,SIO2=6.70; AL2O3=1.25; B2O3=34.12; Li2O=2.39; BAO=3.14; ZNO=5.55; GEO2=13.25; RO=8.84; R2O=2.65; R2O3=67.81; RO2=13.68; RmOn=100.00,SIO2=7.11; B2O3=15.98; Li2O=4.56; BAO=4.63; ZNO=9.89; GEO2=30.40; RO=14.88; R2O=5.01; R2O3=42.30; RO2=30.58; RmOn=100.00,adaptive_B
N-LASF55,adaptive,B,0.04507719632037788,0.09931250829786158,0.9173367966170689,0.0,20,0.0911030182259664,1.0,False,True,SIO2=16.30; B2O3=21.02; BAO=2.08; ZNO=4.06; ZRO2=7.20; TIO2=21.11; RO=6.14; R2O3=45.19; RO2=28.31; R2O5=4.06; RmOn=100.00,SIO2=16.44; B2O3=21.03; BAO=2.00; ZNO=3.90; ZRO2=7.21; TIO2=21.15; RO=5.90; R2O3=45.18; RO2=28.36; R2O5=4.11; RmOn=100.00,SIO2=19.29; B2O3=22.01; ZRO2=7.43; TIO2=21.41; R2O3=46.65; RO2=28.84; R2O5=5.22; RmOn=100.00,adaptive_B
N-SF66,adaptive,B,0.017084573248853676,0.13026198259293081,52.5445940105779,1.0549201679861442,20,6.844562990358516,1.0,False,True,SIO2=6.11; B2O3=3.10; CAO=3.99; K2O=4.55; NA2O=3.83; Li2O=1.59; BAO=15.36; ZNO=0.61; P2O5=18.89; ZRO2=0.99; TIO2=14.54; TEO2=1.09; RO=19.97; R2O=9.96; R2O3=4.03; RO2=16.62; R2O5=42.93; RmOn=100.00,SIO2=3.79; B2O3=1.91; CAO=2.46; K2O=5.77; NA2O=2.49; Li2O=0.97; BAO=18.07; ZNO=0.73; P2O5=21.58; ZRO2=0.64; TIO2=12.96; TEO2=0.67; RO=21.27; R2O=9.23; R2O3=2.57; RO2=14.27; R2O5=48.62; RmOn=100.00,K2O=7.13; BAO=23.03; ZNO=1.03; P2O5=26.11; TIO2=9.72; RO=24.05; R2O=7.54; R2O3=0.52; RO2=9.89; R2O5=57.85; RmOn=100.00,adaptive_B
N-LASF46B,adaptive,B,0.014310942152251569,0.042717608803660365,10.360631585606368,0.9489154358953991,20,0.44258140703278026,1.0,False,True,SIO2=6.04; B2O3=34.21; Li2O=0.92; ZNO=14.07; GEO2=1.22; ZRO2=4.63; TIO2=10.54; TEO2=2.02; RO=15.07; R2O=0.92; R2O3=49.75; RO2=18.42; RO3=3.73; R2O5=5.88; RmOn=99.87,SIO2=6.22; B2O3=33.97; Li2O=0.88; ZNO=14.37; GEO2=1.15; ZRO2=4.69; TIO2=10.89; TEO2=1.90; RO=15.35; R2O=0.88; R2O3=49.43; RO2=18.63; RO3=3.56; R2O5=5.76; RmOn=99.88,SIO2=9.17; B2O3=30.84; Li2O=1.40; ZNO=14.99; GEO2=1.83; ZRO2=5.67; TIO2=14.67; RO=16.09; R2O=1.40; R2O3=45.40; RO2=22.18; RO3=1.24; R2O5=4.22; RmOn=99.80,adaptive_B
N-LASF31A,adaptive,B,0.009154409954423863,0.03401212707993459,2.171625092097804,0.6730116670092565,20,0.07386158860240517,1.0,False,True,SIO2=20.08; B2O3=27.39; CAO=0.66; ZNO=5.04; ZRO2=8.13; TIO2=0.90; RO=5.69; R2O3=58.20; RO2=9.27; RO3=0.75; R2O5=5.88; RmOn=100.00,SIO2=20.18; B2O3=27.37; CAO=0.59; ZNO=5.03; ZRO2=8.20; TIO2=0.85; RO=5.62; R2O3=58.16; RO2=9.29; RO3=0.70; R2O5=5.93; RmOn=100.00,SIO2=23.00; B2O3=23.94; ZNO=8.32; ZRO2=8.15; RO=8.32; R2O3=54.63; RO2=8.15; R2O5=5.90; RmOn=100.00,adaptive_B
N-LASF9,adaptive,B,0.07599033403572136,0.145339121577409,36.382525455595335,0.5181862130502128,20,5.287804290483948,1.0,False,True,SIO2=21.05; B2O3=18.27; CAO=1.13; PBO=0.65; Li2O=0.56; MgO=0.55; BAO=15.27; ZNO=1.43; P2O5=1.22; GEO2=2.42; ZRO2=4.27; TIO2=15.37; RO=20.76; R2O=1.16; R2O3=27.90; RO2=23.00; R2O5=5.40; RmOn=99.59,SIO2=21.03; B2O3=18.40; CAO=1.09; PBO=0.76; Li2O=0.62; MgO=0.53; BAO=15.14; ZNO=1.51; P2O5=1.18; GEO2=2.34; ZRO2=4.30; TIO2=15.26; RO=20.76; R2O=1.25; R2O3=28.05; RO2=22.85; R2O5=5.32; RmOn=99.59,SIO2=11.19; B2O3=30.55; CAO=2.17; PBO=1.83; Li2O=0.97; MgO=1.31; BAO=5.35; ZNO=3.65; ZRO2=5.00; TIO2=14.29; RO=18.21; R2O=1.64; R2O3=44.90; RO2=19.29; R2O5=3.29; RmOn=98.99,adaptive_B
N-SF57,adaptive,B,0.0021852361225159133,0.055369352979255416,49.508854388621366,0.7305880613711224,20,2.741273234242135,1.0,False,True,SIO2=29.47; B2O3=3.49; CAO=0.74; K2O=2.16; NA2O=13.92; Li2O=3.07; SRO=0.79; BAO=5.22; P2O5=4.82; ZRO2=0.69; TIO2=23.72; RO=7.17; R2O=19.41; R2O3=3.64; RO2=25.02; R2O5=15.29; RmOn=100.00,SIO2=36.25; B2O3=1.63; K2O=1.14; NA2O=13.32; Li2O=1.54; BAO=7.81; P2O5=2.10; TIO2=25.79; RO=8.87; R2O=16.11; R2O3=1.75; RO2=26.40; R2O5=10.62; RmOn=100.00,SIO2=39.92; K2O=0.92; NA2O=12.92; Li2O=0.98; BAO=9.08; TIO2=27.75; RO=9.78; R2O=14.95; RO2=28.20; R2O5=6.93; RmOn=100.00,adaptive_B
N-SF57HT,adaptive,B,0.0021852361225159133,0.055369352979255416,49.508854388621366,0.7305880613711224,20,2.741273234242135,1.0,False,True,SIO2=29.47; B2O3=3.49; CAO=0.74; K2O=2.16; NA2O=13.92; Li2O=3.07; SRO=0.79; BAO=5.22; P2O5=4.82; ZRO2=0.69; TIO2=23.72; RO=7.17; R2O=19.41; R2O3=3.64; RO2=25.02; R2O5=15.29; RmOn=100.00,SIO2=36.25; B2O3=1.63; K2O=1.14; NA2O=13.32; Li2O=1.54; BAO=7.81; P2O5=2.10; TIO2=25.79; RO=8.87; R2O=16.11; R2O3=1.75; RO2=26.40; R2O5=10.62; RmOn=100.00,SIO2=39.92; K2O=0.92; NA2O=12.92; Li2O=0.98; BAO=9.08; TIO2=27.75; RO=9.78; R2O=14.95; RO2=28.20; R2O5=6.93; RmOn=100.00,adaptive_B
N-SF57HTultra,adaptive,B,0.0021852361225159133,0.055369352979255416,49.508854388621366,0.7305880613711224,20,2.741273234242135,1.0,False,True,SIO2=29.47; B2O3=3.49; CAO=0.74; K2O=2.16; NA2O=13.92; Li2O=3.07; SRO=0.79; BAO=5.22; P2O5=4.82; ZRO2=0.69; TIO2=23.72; RO=7.17; R2O=19.41; R2O3=3.64; RO2=25.02; R2O5=15.29; RmOn=100.00,SIO2=36.25; B2O3=1.63; K2O=1.14; NA2O=13.32; Li2O=1.54; BAO=7.81; P2O5=2.10; TIO2=25.79; RO=8.87; R2O=16.11; R2O3=1.75; RO2=26.40; R2O5=10.62; RmOn=100.00,SIO2=39.92; K2O=0.92; NA2O=12.92; Li2O=0.98; BAO=9.08; TIO2=27.75; RO=9.78; R2O=14.95; RO2=28.20; R2O5=6.93; RmOn=100.00,adaptive_B
