glass_name,composition_source,matched_sciglass_id,distance_first,distance_mean_top20,jaccard_mode_a_b,jaccard_label,predicted_composition,composition_pls,composition_xgb,composition_gpr,local_pls_cv_mse,local_xgb_cv_mse,local_gpr_cv_mse,composition_variance_neighbors,uncertainty_score,family_entropy,best_neighbor_plausible,plausible_ratio_top20,plausible_ratio_top5,n_neighbors_used,stable_neighbor_count
LASF35,best_neighbor_mode_b,848700066673,0.022112461526123475,0.11193783009926875,0.08108108108108109,ill_posed,SIO2=17.24; B2O3=12.40; ZRO2=8.97; TIO2=22.69,SIO2=46.20; PBO=14.27; ZNO=5.48; ZRO2=14.29; RO=19.76,SIO2=6.93; B2O3=75.21; P2O5=3.37; ZRO2=11.19; TIO2=2.22,SIO2=46.20; PBO=14.27; ZNO=5.48; ZRO2=14.29; RO=19.76,4.421728819935362,2.3949567250274755,,15.525283322404364,1.7378665267863105,0.8237197315118312,False,0.0,0.0,20,3
P-SF68,best_neighbor_mode_b,3304900407413,0.0177550996972877,0.05310676010246825,0.1111111111111111,ill_posed,SIO2=7.08; B2O3=15.98; Li2O=5.01; BAO=4.99; ZNO=9.99; GEO2=30.90; RO=14.98,SIO2=9.58; AL2O3=2.13; B2O3=32.20; Li2O=3.69; BAO=4.91; ZNO=7.85; GEO2=25.68; RO=13.11,SIO2=7.72; B2O3=29.47; Li2O=6.23; BAO=3.04; ZNO=10.73; GEO2=32.50; RO=9.64,SIO2=9.58; AL2O3=2.13; B2O3=32.20; Li2O=3.69; BAO=4.91; ZNO=7.85; GEO2=25.68; RO=13.11,15.89187768614158,3.835678972678894,,39.38761398307126,2.0917485668075897,0.6474466390346325,False,0.0,0.0,20,4
N-LASF55,best_neighbor_mode_b,848700066662,0.04507719632037788,0.09931250829786158,0.14285714285714285,ill_posed,SIO2=20.21; B2O3=20.52; ZRO2=7.42; TIO2=22.36,SIO2=16.79; B2O3=21.46; BAO=7.89; ZNO=6.89; ZRO2=7.63; TIO2=24.56; RO=14.78,SIO2=19.11; B2O3=25.29; BAO=4.94; ZNO=6.07; ZRO2=8.78; TIO2=26.71; RO=9.09,SIO2=16.79; B2O3=21.46; BAO=7.89; ZNO=6.89; ZRO2=7.63; TIO2=24.56; RO=14.78,0.16484803160879735,0.16804756216854025,,1.3992697855962077,0.13896499219297037,0.0,False,0.0,0.0,20,5
N-SF66,best_neighbor_mode_b,3554700427378,0.017084573248853676,0.13026198259293081,0.0,ill_posed,K2O=7.31; NA2O=0.56; BAO=23.01; ZNO=1.48; P2O5=26.06; TIO2=10.34; RO=24.49,SIO2=7.27; CAO=3.37; K2O=7.14; BAO=19.37; ZNO=0.79; P2O5=20.47; ZRO2=1.49; TIO2=16.39; RO=23.53,K2O=8.32; BAO=15.90; ZNO=1.03; P2O5=29.79; TIO2=17.13; RO=26.37,SIO2=7.27; CAO=3.37; K2O=7.14; BAO=19.37; ZNO=0.79; P2O5=20.47; ZRO2=1.49; TIO2=16.39; RO=23.53,26.101702170096363,2.319124715799772,,50.92432422892654,6.633503436265193,1.0549201679861442,False,0.0,0.0,20,0
N-LASF46B,best_neighbor_mode_b,3770100445790,0.014310942152251569,0.042717608803660365,0.02564102564102564,ill_posed,SIO2=9.83; B2O3=28.84; ZNO=20.32; ZRO2=5.75; TIO2=17.74; RO=20.32,SIO2=10.66; B2O3=32.68; CAO=0.68; Li2O=1.80; ZNO=15.54; GEO2=0.81; ZRO2=6.85; TIO2=14.38; RO=16.35,SIO2=9.07; B2O3=27.28; ZNO=19.16; GEO2=5.60; ZRO2=5.33; TIO2=13.58; RO=19.31,SIO2=10.66; B2O3=32.68; CAO=0.68; Li2O=1.80; ZNO=15.54; GEO2=0.81; ZRO2=6.85; TIO2=14.38; RO=16.35,8.308810949742128,1.344083047705101,,13.798129986322666,0.5894231189777872,0.9489154358953991,False,0.0,0.0,20,1
N-LASF31A,best_neighbor_mode_b,3606900432490,0.009154409954423863,0.03401212707993459,0.21212121212121213,ill_posed,SIO2=23.66; B2O3=23.82; ZNO=7.12; ZRO2=8.73; RO=7.12,SIO2=27.97; B2O3=42.54; ZNO=6.06; GEO2=0.94; ZRO2=12.61; TIO2=2.68; RO=6.38,SIO2=27.92; B2O3=50.56; ZNO=3.01; ZRO2=13.68; RO=4.19,SIO2=27.97; B2O3=42.54; ZNO=6.06; GEO2=0.94; ZRO2=12.61; TIO2=2.68; RO=6.38,1.2244422417158343,0.33039702721010267,,2.9580047012063644,0.10060803180047481,0.6730116670092565,False,0.0,0.0,20,7
N-LASF9,best_neighbor_mode_b,3462100408878,0.07599033403572136,0.145339121577409,0.02564102564102564,ill_posed,SIO2=15.91; B2O3=24.80; K2O=1.31; NA2O=1.69; PBO=8.18; Li2O=4.33; BAO=9.25; ZNO=6.44; ZRO2=6.26; TIO2=8.18; RO=23.87,SIO2=23.33; B2O3=14.00; CAO=1.27; NA2O=0.56; MgO=0.52; BAO=16.03; ZNO=0.85; GEO2=3.29; ZRO2=4.39; TIO2=15.86; RO=19.23,SIO2=26.38; B2O3=8.37; BAO=22.08; ZRO2=4.48; TIO2=15.02; RO=22.62,SIO2=23.33; B2O3=14.00; CAO=1.27; NA2O=0.56; MgO=0.52; BAO=16.03; ZNO=0.85; GEO2=3.29; ZRO2=4.39; TIO2=15.86; RO=19.23,22.594374749404686,3.758116465725304,,38.935617891303615,5.658868502395717,0.5181862130502128,False,0.25,0.4,20,1
N-SF57,best_neighbor_mode_b,3548700426251,0.0021852361225159133,0.055369352979255416,0.1111111111111111,ill_posed,SIO2=42.61; NA2O=12.80; BAO=10.29; TIO2=27.08; RO=10.29,SIO2=32.77; B2O3=2.77; CAO=1.03; K2O=2.13; NA2O=12.73; Li2O=0.95; SRO=1.25; BAO=6.41; P2O5=3.75; ZRO2=1.06; TIO2=26.10; RO=8.85,SIO2=34.97; K2O=2.15; NA2O=12.48; Li2O=2.81; BAO=7.01; P2O5=0.87; TIO2=28.54; RO=10.21,SIO2=32.77; B2O3=2.77; CAO=1.03; K2O=2.13; NA2O=12.73; Li2O=0.95; SRO=1.25; BAO=6.41; P2O5=3.75; ZRO2=1.06; TIO2=26.10; RO=8.85,33.16419125440979,8.149995750333433,,49.05649286017692,2.716226269099459,0.7305880613711224,False,0.2,0.0,20,4
N-SF57HT,best_neighbor_mode_b,3548700426251,0.0021852361225159133,0.055369352979255416,0.1111111111111111,ill_posed,SIO2=42.61; NA2O=12.80; BAO=10.29; TIO2=27.08; RO=10.29,SIO2=32.77; B2O3=2.77; CAO=1.03; K2O=2.13; NA2O=12.73; Li2O=0.95; SRO=1.25; BAO=6.41; P2O5=3.75; ZRO2=1.06; TIO2=26.10; RO=8.85,SIO2=34.97; K2O=2.15; NA2O=12.48; Li2O=2.81; BAO=7.01; P2O5=0.87; TIO2=28.54; RO=10.21,SIO2=32.77; B2O3=2.77; CAO=1.03; K2O=2.13; NA2O=12.73; Li2O=0.95; SRO=1.25; BAO=6.41; P2O5=3.75; ZRO2=1.06; TIO2=26.10; RO=8.85,33.16419125440979,8.149995750333433,,49.05649286017692,2.716226269099459,0.7305880613711224,False,0.2,0.0,20,4
N-SF57HTultra,best_neighbor_mode_b,3548700426251,0.0021852361225159133,0.055369352979255416,0.1111111111111111,ill_posed,SIO2=42.61; NA2O=12.80; BAO=10.29; TIO2=27.08; RO=10.29,SIO2=32.77; B2O3=2.77; CAO=1.03; K2O=2.13; NA2O=12.73; Li2O=0.95; SRO=1.25; BAO=6.41; P2O5=3.75; ZRO2=1.06; TIO2=26.10; RO=8.85,SIO2=34.97; K2O=2.15; NA2O=12.48; Li2O=2.81; BAO=7.01; P2O5=0.87; TIO2=28.54; RO=10.21,SIO2=32.77; B2O3=2.77; CAO=1.03; K2O=2.13; NA2O=12.73; Li2O=0.95; SRO=1.25; BAO=6.41; P2O5=3.75; ZRO2=1.06; TIO2=26.10; RO=8.85,33.16419125440979,8.149995750333433,,49.05649286017692,2.716226269099459,0.7305880613711224,False,0.2,0.0,20,4
