glass_name,nd,vd,density,tg
LASF35,0.30362328721415366,0.20668707282298895,0.2551168107597598,0.4001300158139593
P-SF68,0.3092627845887952,0.21896287681701504,0.30415687486489223,0.3214224596391716
N-LASF55,0.04104040143981897,0.07388650756936019,0.39327937705012694,0.5464374599341044
N-SF66,0.24775290130592134,0.3824440636178306,0.20546842518947317,0.3400060926443563
N-LASF46B,0.1916963372958117,0.3033447245185986,0.12600084395003824,0.4585878673821775
N-LASF31A,0.08301974501960768,0.19095795001145682,0.5772138994182913,0.43741535525978986
N-LASF9,0.28206450957153906,0.19118052085725848,0.382596054318278,0.31170869359419623
N-SF57,0.24614264606925715,0.20184068138601977,0.3876556629661602,0.8307135501077484
N-SF57HT,0.24614264606925715,0.20184068138601977,0.3876556629661602,0.8307135501077484
N-SF57HTultra,0.24614264606925715,0.20184068138601977,0.3876556629661602,0.8307135501077484
SF57,0.26092335974484876,0.22632582069992888,0.20489438638871219,0.4786589611108194
SF57HTultra,0.26092335974484876,0.22632582069992888,0.20489438638871219,0.4786589611108194
N-LASF41,0.3223302255410792,0.15781112801001543,0.38322152562893336,0.5350405487622355
N-LASF40,0.36865432697429273,0.24703424246771893,0.25723656611487133,0.26915068157952904
SF6G05,0.4077656702595722,0.23678686252678732,0.3663328582389127,0.2891957487606702
N-LASF43,0.1124046651601737,0.2849278283047213,0.8291981059616326,0.37613690710857745
P-LASF47,0.21587339397359523,0.3501679204430156,0.3570644030631745,0.29113292435811944
N-SF6,0.3485851984351778,0.1813762514879887,0.4328144637488921,0.3722408632794133
N-SF6HT,0.3485851984351778,0.1813762514879887,0.4328144637488921,0.3722408632794133
N-SF6HTultra,0.3485851984351778,0.1813762514879887,0.4328144637488921,0.3722408632794133
SF6,0.3552229961636463,0.2824358439026767,0.43818526259931456,0.21814673686075342
SF6HT,0.3552229961636463,0.2824358439026767,0.43818526259931456,0.21814673686075342
N-LASF44,0.4208170012917489,0.0655770134875708,0.12889322832746078,0.6626701328766093
N-LASF45,0.22788253170948836,0.3316740539768469,0.4092151796669413,0.6245646929344678
N-LAF21,0.24615699595830356,0.37529229588460145,0.37024418266558434,0.2302406584756934
N-LAF33,0.28707561960453554,0.42309811884175075,0.2419040973724573,0.37882456646176116
N-SF11,0.39492634234458535,0.10122427893753635,0.4599183264717082,0.4461797904650368
SF11,0.402230447263797,0.24451204293185005,0.049900973483761296,0.4085872437786508
SF56A,0.22044915402580859,0.1323994519443098,0.4404911964476006,0.6159967641324644
N-LAF34,0.3600588761200162,0.3053587762842711,0.23683340295603142,0.33009309754955446
N-SF14,0.2678875752114106,0.33862308961205,0.38796710407733315,0.3417133570617985
P-LAF37,0.23641301876281232,0.44479467062145883,0.08498230257664405,0.3310981005125228
SF4,0.30833242288689383,0.11156607551267853,0.5444811619573142,0.3002281861294827
N-SF4,0.25418358978842176,0.35104770169618077,0.3427188778185805,0.5172883118480203
N-LAK33B,0.4809848474525138,0.2743149956655674,0.3299888938441301,0.12231228492075609
N-LAF7,0.3816946868601342,0.10784764433743109,0.357522113808448,0.7065208476070848
