glass_name,jaccard_top20,jaccard_label,n_intersection,n_union,n_mode_a,n_mode_b,stable_neighbor_count
LASF35,0.08108108108108109,ill_posed,3,37,20,20,3
P-SF68,0.1111111111111111,ill_posed,4,36,20,20,4
N-LASF55,0.14285714285714285,ill_posed,5,35,20,20,5
N-SF66,0.0,ill_posed,0,40,20,20,0
N-LASF46B,0.02564102564102564,ill_posed,1,39,20,20,1
N-LASF31A,0.21212121212121213,ill_posed,7,33,20,20,7
N-LASF9,0.02564102564102564,ill_posed,1,39,20,20,1
N-SF57,0.1111111111111111,ill_posed,4,36,20,20,4
N-SF57HT,0.1111111111111111,ill_posed,4,36,20,20,4
N-SF57HTultra,0.1111111111111111,ill_posed,4,36,20,20,4
SF57,0.08108108108108109,ill_posed,3,37,20,20,3
SF57HTultra,0.08108108108108109,ill_posed,3,37,20,20,3
N-LASF41,0.2903225806451613,ill_posed,9,31,20,20,9
N-LASF40,0.05263157894736842,ill_posed,2,38,20,20,2
SF6G05,0.08108108108108109,ill_posed,3,37,20,20,3
N-LASF43,0.0,ill_posed,0,40,20,20,0
P-LASF47,0.17647058823529413,ill_posed,6,34,20,20,6
N-SF6,0.02564102564102564,ill_posed,1,39,20,20,1
N-SF6HT,0.02564102564102564,ill_posed,1,39,20,20,1
N-SF6HTultra,0.02564102564102564,ill_posed,1,39,20,20,1
SF6,0.1111111111111111,ill_posed,4,36,20,20,4
SF6HT,0.1111111111111111,ill_posed,4,36,20,20,4
N-LASF44,0.0,ill_posed,0,40,20,20,0
N-LASF45,0.08108108108108109,ill_posed,3,37,20,20,3
N-LAF21,0.02564102564102564,ill_posed,1,39,20,20,1
N-LAF33,0.05263157894736842,ill_posed,2,38,20,20,2
N-SF11,0.1111111111111111,ill_posed,4,36,20,20,4
SF11,0.05263157894736842,ill_posed,2,38,20,20,2
SF56A,0.14285714285714285,ill_posed,5,35,20,20,5
N-LAF34,0.08108108108108109,ill_posed,3,37,20,20,3
